Delay,Size,Concurrency,Average Latency (s),Requests/sec
100,0,300,0.1020,12817.7808
100,0,400,0.1021,3886.5607
100,0,500,0.1024,4809.4838
100,0,600,0.1038,5660.3659
100,0,700,0.1045,6566.9835
100,0,800,0.1051,7445.1717
100,0,900,0.1059,8228.7133
100,0,1000,0.1067,9055.8119
100,0,1100,0.1092,9536.1208
100,0,1200,0.1123,10027.4120
100,0,1300,0.1116,10960.0320
100,0,1400,0.1134,11581.6754
100,0,1500,0.1172,11799.8261
100,500,100,0.1040,1329.4436
100,500,200,0.1048,1865.1021
100,500,300,0.1072,2714.7177
100,500,400,0.1180,3130.4308
100,500,500,0.1271,3542.1785
100,500,600,0.1385,3956.1104
100,500,700,0.1371,4648.2063
100,500,800,0.1337,5493.6322
100,500,900,0.1479,5535.9770
100,500,1000,0.1501,6146.4783
100,500,1100,0.1633,6168.3782
100,500,1200,0.1672,6537.2521
100,500,1300,0.1508,7589.2356
100,500,1400,0.1710,7283.0339
100,500,1500,0.1590,7788.8071
100,1000,100,0.1065,1184.2429
100,1000,200,0.1127,1695.2923
100,1000,300,0.1282,2135.8587
100,1000,400,0.1298,2786.3077
100,1000,500,0.1532,3032.6487
100,1000,600,0.1547,3565.5089
100,1000,700,0.1219,4958.3753
100,1000,800,0.1230,5722.0759
100,1000,900,0.1376,5293.4977
100,1000,1000,0.1399,5866.2938
100,1000,1100,0.1520,5799.1903
100,1000,1200,0.1618,5271.6900
100,1000,1300,0.1698,5369.1896
100,1000,1400,0.1832,5768.6652
100,1000,1500,0.1811,5912.4587
200,0,100,0.2014,648.4326
200,0,200,0.2015,991.3865
200,0,300,0.2018,1482.5523
200,0,400,0.2021,1968.7044
200,0,500,0.2028,2450.5799
200,0,600,0.2035,2912.1506
200,0,700,0.2054,3384.8139
200,0,800,0.2045,3839.1475
200,0,900,0.2049,4354.2002
200,0,1000,0.2056,4787.4828
200,0,1100,0.2075,5195.6712
200,0,1200,0.2100,5547.9922
200,0,1300,0.2140,5926.1497
200,0,1400,0.2189,6203.4412
200,0,1500,0.2203,6441.1211
200,500,100,0.2035,593.8281
200,500,200,0.2048,968.8900
200,500,300,0.2059,1437.0107
200,500,400,0.2082,1866.3677
200,500,500,0.2171,2139.7618
200,500,600,0.2165,2636.5384
200,500,700,0.2186,2997.6061
200,500,800,0.2398,3097.2347
200,500,900,0.2529,3297.4260
200,500,1000,0.2467,3795.4093
200,500,1100,0.2471,4140.3231
200,500,1200,0.2715,4112.0297
200,500,1300,0.2683,4481.6256
200,500,1400,0.2476,5272.8293
200,500,1500,0.2620,5292.2167
200,1000,100,0.2056,588.5029
200,1000,200,0.2079,954.5189
200,1000,300,0.2103,1391.0158
200,1000,400,0.2263,1632.2704
200,1000,500,0.2320,1990.1588
200,1000,600,0.2486,2264.7635
200,1000,700,0.2360,2784.9950
200,1000,800,0.2531,2934.9825
200,1000,900,0.2713,3109.2312
200,1000,1000,0.2541,3618.3427
200,1000,1100,0.2441,4200.8029
200,1000,1200,0.2572,4197.0717
200,1000,1300,0.2584,4373.1275
200,1000,1400,0.2734,4490.9008
200,1000,1500,0.2677,4725.7377
300,0,100,0.3014,446.1226
300,0,200,0.3014,663.2194
300,0,300,0.3019,991.1286
300,0,400,0.3022,1318.6142
300,0,500,0.3030,1643.2398
300,0,600,0.3032,1965.4111
300,0,700,0.3044,2283.5257
300,0,800,0.3041,2606.9589
300,0,900,0.3056,2915.7485
300,0,1000,0.3058,3214.1487
300,0,1100,0.3100,3485.2660
300,0,1200,0.3125,3772.8946
300,0,1300,0.3129,4061.6182
300,0,1400,0.3126,4371.8293
300,0,1500,0.3201,4569.4969
300,500,100,0.3040,419.5420
300,500,200,0.3045,652.8909
300,500,300,0.3063,971.2835
300,500,400,0.3074,1284.9144
300,500,500,0.3098,1580.9170
300,500,600,0.3123,1867.0006
300,500,700,0.3182,2078.8343
300,500,800,0.3301,2271.6963
300,500,900,0.3394,2473.1991
300,500,1000,0.3428,2720.9554
300,500,1100,0.3496,2923.5615
300,500,1200,0.3565,3174.2878
300,500,1300,0.3537,3405.0729
300,500,1400,0.3586,3588.8884
300,500,1500,0.3570,3893.4116
300,1000,100,0.3063,420.5220
300,1000,200,0.3065,648.6679
300,1000,300,0.3090,960.2797
300,1000,400,0.3119,1255.7863
300,1000,500,0.3279,1422.8170
300,1000,600,0.3441,1637.5274
300,1000,700,0.3518,1861.8587
300,1000,800,0.3445,2184.8566
300,1000,900,0.3703,2299.7543
300,1000,1000,0.3634,2579.5778
300,1000,1100,0.3615,2855.5064
300,1000,1200,0.3529,3169.5946
300,1000,1300,0.3582,3432.9933
300,1000,1400,0.3804,3465.6351
300,1000,1500,0.3950,3506.5195
400,0,100,0.4015,330.8612
400,0,200,0.4016,497.7964
400,0,300,0.4019,745.1186
400,0,400,0.4024,991.5148
400,0,500,0.4025,1237.5857
400,0,600,0.4034,1478.4121
400,0,700,0.4044,1721.2198
400,0,800,0.4046,1964.9221
400,0,900,0.4069,2191.2529
400,0,1000,0.4061,2426.2642
400,0,1100,0.4098,2636.1548
400,0,1200,0.4080,2891.7891
400,0,1300,0.4125,3098.4738
400,0,1400,0.4124,3322.4476
400,0,1500,0.4203,3469.2985
400,500,100,0.4043,309.1476
400,500,200,0.4045,492.5680
400,500,300,0.4065,732.4314
400,500,400,0.4080,969.8240
400,500,500,0.4117,1195.0828
400,500,600,0.4143,1410.6405
400,500,700,0.4230,1592.0913
400,500,800,0.4271,1777.7984
400,500,900,0.4365,1956.9723
400,500,1000,0.4327,2210.8147
400,500,1100,0.4526,2300.8786
400,500,1200,0.4513,2540.0322
400,500,1300,0.4664,2633.8567
400,500,1400,0.4652,2832.6505
400,500,1500,0.4500,3165.6663
400,1000,100,0.4054,306.8516
400,1000,200,0.4076,487.4226
400,1000,300,0.4094,724.8647
400,1000,400,0.4133,947.4413
400,1000,500,0.4300,1101.2465
400,1000,600,0.4388,1287.6428
400,1000,700,0.4323,1545.9677
400,1000,800,0.4541,1677.2493
400,1000,900,0.4720,1813.3284
400,1000,1000,0.4534,2091.2836
400,1000,1100,0.4481,2295.4263
400,1000,1200,0.4561,2479.4077
400,1000,1300,0.4505,2650.7904
400,1000,1400,0.4809,2743.2158
400,1000,1500,0.5109,2756.9346
500,0,100,0.5013,258.2171
500,0,200,0.5016,398.4121
500,0,300,0.5020,597.0875
500,0,400,0.5020,795.3051
500,0,500,0.5026,992.0213
500,0,600,0.5042,1183.1672
500,0,700,0.5049,1379.4674
500,0,800,0.5047,1575.0503
500,0,900,0.5053,1766.3739
500,0,1000,0.5077,1954.1700
500,0,1100,0.5085,2141.5796
500,0,1200,0.5123,2306.3409
500,0,1300,0.5099,2519.7829
500,0,1400,0.5117,2694.4060
500,0,1500,0.5104,2905.8393
500,500,100,0.5038,267.4842
500,500,200,0.5047,395.2283
500,500,300,0.5054,590.9904
500,500,400,0.5081,780.5638
500,500,500,0.5105,966.9217
500,500,600,0.5158,1137.1936
500,500,700,0.5236,1297.4582
500,500,800,0.5233,1476.7322
500,500,900,0.5256,1645.2389
500,500,1000,0.5451,1751.4551
500,500,1100,0.5578,1886.0654
500,500,1200,0.5470,2075.6006
500,500,1300,0.5589,2222.9227
