Delay,Size,Concurrency,Average Latency (s),Requests/sec
100,0,100,0.1387,719.6816
100,0,200,0.1394,1429.3529
100,0,300,0.1410,1981.6985
100,0,400,0.1411,2813.1255
100,0,500,0.1426,3463.6183
100,0,600,0.1450,3966.1586
100,0,700,0.1464,4662.3247
100,0,800,0.1487,4678.2682
100,0,900,0.1527,4923.0294
100,0,1000,0.1538,6181.1788
100,0,1100,0.1593,5267.3126
100,0,1200,0.1628,5512.7407
100,0,1300,0.1671,7089.8314
100,0,1400,0.1732,5862.7725
100,0,1500,0.1877,5734.8972
100,500,100,0.8547,107.4845
100,500,200,1.7239,109.0538
100,500,300,2.5527,110.5138
100,500,400,3.4044,110.3732
100,500,500,4.2240,109.6656
100,500,600,4.9523,110.4610
100,500,700,5.5905,106.4581
100,500,800,6.1804,111.4243
100,500,900,6.8942,111.3094
100,500,1000,8.0436,110.8889
100,500,1100,8.3641,111.0214
100,500,1200,9.3010,112.5117
100,500,1300,10.4537,111.2873
100,500,1400,11.2186,112.6271
100,500,1500,10.9685,111.2910
100,1000,100,1.7347,55.2259
100,1000,200,3.4513,55.5248
100,1000,300,5.1731,55.6724
100,1000,400,6.8658,55.8873
100,1000,500,8.5502,55.8558
100,1000,600,9.7573,55.8162
100,1000,700,11.0616,56.2437
100,1000,800,12.3109,58.1848
100,1000,900,14.2944,58.6012
100,1000,1000,15.9895,59.0408
100,1000,1100,16.1258,63.5263
100,1000,1200,16.7746,66.6826
100,1000,1300,18.2104,65.1195
100,1000,1400,17.6803,69.9589
100,1000,1500,18.2598,74.9742
200,0,100,0.2388,418.3137
200,0,200,0.2395,833.6599
200,0,300,0.2402,1245.1272
200,0,400,0.2411,1652.9312
200,0,500,0.2423,2051.9016
200,0,600,0.2451,2297.7484
200,0,700,0.2458,2638.0257
200,0,800,0.2492,2962.0545
200,0,900,0.2511,3261.1374
200,0,1000,0.2523,3842.6553
200,0,1100,0.2558,4009.2819
200,0,1200,0.2590,4240.4294
200,0,1300,0.2641,4606.9397
200,0,1400,0.2670,4524.6382
200,0,1500,0.2737,4304.7556
200,500,100,0.8496,106.5985
200,500,200,1.7037,109.9515
200,500,300,2.5653,110.2444
200,500,400,3.3797,105.7324
200,500,500,4.1744,110.9457
200,500,600,4.9360,109.0123
200,500,700,5.5620,110.7760
200,500,800,6.1593,110.9916
200,500,900,6.7634,112.0779
200,500,1000,7.4367,112.4411
200,500,1100,8.1007,113.2166
200,500,1200,9.1584,112.5428
200,500,1300,9.8811,113.1269
200,500,1400,10.6475,114.8051
200,500,1500,11.5557,114.1402
200,1000,100,1.7481,53.9651
200,1000,200,3.4630,55.6379
200,1000,300,5.1745,55.6789
200,1000,400,6.8737,55.6771
200,1000,500,8.5901,55.8446
200,1000,600,9.9613,55.8269
200,1000,700,11.0957,55.2978
200,1000,800,13.0161,56.4387
200,1000,900,14.1764,58.6755
200,1000,1000,15.0544,61.1975
200,1000,1100,14.9406,65.7369
200,1000,1200,15.4410,66.4654
200,1000,1300,15.3046,70.5948
200,1000,1400,17.3746,72.4940
200,1000,1500,17.9892,75.5010
300,0,100,0.3388,292.2553
300,0,200,0.3394,578.3396
300,0,300,0.3403,879.8705
300,0,400,0.3413,1130.5002
300,0,500,0.3437,1397.5065
300,0,600,0.3441,1651.0354
300,0,700,0.3461,1908.3831
300,0,800,0.3486,2146.7768
300,0,900,0.3497,2406.8291
300,0,1000,0.3526,2635.1739
300,0,1100,0.3581,2813.9282
300,0,1200,0.3608,3063.4469
300,0,1300,0.3666,3162.4086
300,0,1400,0.3679,3401.0988
300,0,1500,0.3751,3331.1714
300,500,100,0.8675,103.9592
300,500,200,1.7311,105.6107
300,500,300,2.5976,105.9816
300,500,400,3.4105,108.6268
300,500,500,4.2924,107.3139
300,500,600,5.0983,110.0788
300,500,700,5.6467,109.7195
300,500,800,6.2771,109.8198
300,500,900,6.8368,109.9427
300,500,1000,7.7053,109.4487
300,500,1100,9.3092,108.8768
300,500,1200,9.5174,110.9436
300,500,1300,10.2003,111.4756
300,500,1400,11.0839,111.9238
300,500,1500,12.0960,111.6104
300,1000,100,1.7549,53.4555
300,1000,200,3.4877,55.0531
300,1000,300,5.2371,54.8804
300,1000,400,7.0494,54.1328
300,1000,500,8.5632,55.0929
300,1000,600,10.3419,54.7332
300,1000,700,11.4829,55.7146
300,1000,800,12.6307,57.7000
300,1000,900,13.4731,60.1080
300,1000,1000,14.6436,62.2798
300,1000,1100,15.7938,64.3388
300,1000,1200,16.9591,65.9099
300,1000,1300,17.4993,69.5018
300,1000,1400,18.0825,72.2358
300,1000,1500,18.5351,75.3368
400,0,100,0.4389,227.6894
400,0,200,0.4398,454.4463
400,0,300,0.4405,679.7286
400,0,400,0.4419,873.1169
400,0,500,0.4427,1097.3041
400,0,600,0.4444,1342.3756
400,0,700,0.4472,1505.2410
400,0,800,0.4483,1665.6431
400,0,900,0.4503,1971.6713
400,0,1000,0.4527,2172.6807
400,0,1100,0.4572,2214.7469
400,0,1200,0.4603,2389.9794
400,0,1300,0.4646,2477.2380
400,0,1400,0.4671,2628.1474
400,0,1500,0.4739,2881.1425
400,500,100,0.8834,99.5650
400,500,200,1.8401,98.5699
400,500,300,2.6127,105.3561
400,500,400,3.5084,106.8663
400,500,500,4.4305,105.7103
400,500,600,5.0634,108.8740
400,500,700,5.9502,107.3168
400,500,800,6.6157,108.7578
400,500,900,7.0704,109.8448
400,500,1000,7.7812,109.9884
400,500,1100,8.4986,110.4964
400,500,1200,9.3619,108.0600
400,500,1300,9.9821,112.1261
400,500,1400,11.8196,109.0640
400,500,1500,11.3603,113.9625
400,1000,100,1.7632,53.0962
400,1000,200,3.5016,54.5601
400,1000,300,5.2474,54.6371
400,1000,400,7.0273,54.5175
400,1000,500,8.6744,55.0558
400,1000,600,10.0089,55.0392
400,1000,700,11.3683,55.7120
400,1000,800,12.6067,56.8560
400,1000,900,13.9897,58.9348
400,1000,1000,15.8544,59.0182
400,1000,1100,15.3563,64.7841
400,1000,1200,16.2401,66.6818
400,1000,1300,18.0618,67.5181
400,1000,1400,18.2616,70.4250
400,1000,1500,18.0920,74.9410
500,0,100,0.5389,185.4749
500,0,200,0.5396,370.2824
500,0,300,0.5408,547.0485
500,0,400,0.5428,723.5940
500,0,500,0.5424,919.1627
500,0,600,0.5443,1098.2797
500,0,700,0.5468,1202.9107
500,0,800,0.5482,1446.1171
500,0,900,0.5562,1510.3820
500,0,1000,0.5529,1784.5957
500,0,1100,0.5558,1945.4232
500,0,1200,0.5605,1953.3386
500,0,1300,0.5645,2082.6589
500,0,1400,0.5714,2197.3421
500,0,1500,0.5765,2313.6755
500,500,100,0.8797,101.8484
500,500,200,1.8902,98.5608
500,500,300,2.5950,108.2754
500,500,400,3.3962,106.5013
500,500,500,4.2166,107.7882
500,500,600,4.9705,107.4848
500,500,700,5.7360,108.2142
500,500,800,6.3343,108.7574
500,500,900,7.0673,109.0307
500,500,1000,7.5766,110.3441
500,500,1100,8.2573,110.9910
500,500,1200,10.1675,108.6071
500,500,1300,10.3302,111.6132
500,500,1400,11.1913,112.2948
500,500,1500,11.7719,113.0564
500,1000,100,1.7580,52.8687
500,1000,200,3.4940,54.6233
500,1000,300,5.4395,52.8066
500,1000,400,6.9475,55.0577
500,1000,500,8.6696,55.1163
500,1000,600,10.1110,55.1323
500,1000,700,11.4486,55.4339
500,1000,800,12.9970,56.2882
500,1000,900,14.7146,56.7481
500,1000,1000,14.9176,61.5866
500,1000,1100,16.2733,61.8452
500,1000,1200,16.0952,67.6470
500,1000,1300,15.8862,71.3806
500,1000,1400,16.5163,73.2045
500,1000,1500,17.0546,76.2137
600,0,100,0.6609,130.0364
600,0,200,NaN,301.9793
600,0,300,NaN,472.5868
600,0,400,NaN,1388.4060
600,0,500,NaN,1420.2300
600,0,600,NaN,1396.0468
600,0,700,NaN,1242.3927
600,0,800,NaN,1407.0215
600,0,900,NaN,1464.2971
600,0,1000,NaN,1720.3170
600,0,1100,NaN,1729.5790
600,0,1200,NaN,1688.6074
600,0,1300,NaN,1590.4737
600,0,1400,NaN,1735.0605
600,0,1500,NaN,1597.7510
