Delay,Size,Concurrency,Average Latency (s),Requests/sec
100,0,1,0.1004,9.9580
100,0,17,0.1008,168.6559
100,0,33,0.1009,326.9906
100,0,49,0.1009,485.2308
100,0,65,0.1006,645.9005
100,0,81,0.1006,804.7696
100,0,97,0.1008,961.9243
100,0,113,0.1008,1119.9621
100,10,1,0.1004,9.9549
100,10,17,0.1008,168.6114
100,10,33,0.1009,326.8944
100,10,49,0.1007,486.3126
100,10,65,0.1009,643.7244
100,10,81,0.1008,802.9548
100,10,97,0.1007,962.5641
100,10,113,0.1007,1121.4877
100,20,1,0.1004,9.9544
100,20,17,0.1009,168.5301
100,20,33,0.1008,327.1435
100,20,49,0.1008,485.9979
100,20,65,0.1008,644.5181
100,20,81,0.1008,802.9588
100,20,97,0.1007,961.9945
100,20,113,0.1009,1118.8514
100,30,1,0.1005,9.9497
100,30,17,0.1009,168.4965
100,30,33,0.1008,327.1527
100,30,49,0.1007,486.4674
100,30,65,0.1008,644.3296
100,30,81,0.1007,803.8639
100,30,97,0.1009,960.4774
100,30,113,0.1009,1118.7378
100,40,1,0.1005,9.9528
100,40,17,0.1009,168.4340
100,40,33,0.1008,327.2908
100,40,49,0.1008,485.9222
100,40,65,0.1009,643.8999
100,40,81,0.1009,802.1089
100,40,97,0.1009,954.4470
100,40,113,0.1009,1119.3070
100,50,1,0.1005,9.9506
100,50,17,0.1009,168.3994
100,50,33,0.1009,326.8913
100,50,49,0.1008,485.4719
100,50,65,0.1008,644.4135
100,50,81,0.1008,803.0730
100,50,97,0.1008,960.7442
100,50,113,0.1009,1118.9568
100,60,1,0.1005,9.9487
100,60,17,0.1009,168.4651
100,60,33,0.1008,327.3325
100,60,49,0.1008,485.6948
100,60,65,0.1009,643.6235
100,60,81,0.1011,796.0330
100,60,97,0.1010,954.6520
100,60,113,0.1010,1113.0690
100,70,1,0.1005,9.9454
100,70,17,0.1009,168.5098
100,70,33,0.1009,327.0190
100,70,49,0.1010,485.1356
100,70,65,0.1009,643.6250
100,70,81,0.1011,794.5651
100,70,97,0.1009,958.3253
100,70,113,0.1010,1111.6220
100,80,1,0.1005,9.9500
100,80,17,0.1008,168.7027
100,80,33,0.1010,324.9280
100,80,49,0.1009,485.2445
100,80,65,0.1009,641.2274
100,80,81,0.1010,794.8173
100,80,97,0.1010,953.5581
100,80,113,0.1010,1111.0399
100,90,1,0.1006,9.9429
100,90,17,0.1008,168.5454
100,90,33,0.1010,325.7952
100,90,49,0.1010,482.1427
100,90,65,0.1011,638.7118
100,90,81,0.1010,798.1214
100,90,97,0.1010,952.9407
100,90,113,0.1010,1111.8216
100,100,1,0.1005,9.9465
100,100,17,0.1008,168.6200
100,100,33,0.1009,326.5067
100,100,49,0.1010,482.9694
100,100,65,0.1010,638.9281
100,100,81,0.1010,798.4118
100,100,97,0.1010,955.4367
100,100,113,0.1011,1108.1206
